Advisory Level,Advisory_Date_of_Recommendation,AdvisoryDetail,Advisory_Detail_Description,Bloom_Date_Created,Bloom_Report_ID,Advisory Level,AdvisoryLevelDescription,Contact_Organization,County,Landmark,Observation_Date,Rec_Land_Manager,Regional_Water_Board,Water_Body_Manager,Water_Body_Name,DetailStaticText,Bloom_Longitude_Corrected,Bloom_Latitude
Last verified >90 days ago,9/28/22,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",1/7/2022 12:00:00 AM,3128,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Siskiyou,(RM 224.78),1/7/2022 12:00:00 AM,Unknown,Region 1 - North Coast,PacifiCorp,J.C. Boyle Reservoir,Detail,-122.03130,42.13510
Last verified >90 days ago,10/20/22,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",1/7/2022 12:00:00 AM,3131,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Siskiyou,above Shovel Creek (RM 206.42),1/7/2022 12:00:00 AM,Unknown,Region 1 - North Coast,PacifiCorp,Klamath River,Detail,-122.20160,41.97243
Last verified >90 days ago,10/31/22,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",1/7/2022 12:00:00 AM,3142,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Siskiyou,at Brown Bear River Access (RM 150.00),1/7/2022 12:00:00 AM,Unknown,Region 1 - North Coast,Karuk Tribe,Klamath River,Detail,-122.96197,41.82307
Last verified >90 days ago,10/31/22,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",1/7/2022 12:00:00 AM,3140,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Siskiyou,at I-5 Rest Area (RM 179.20; Public Health),1/7/2022 12:00:00 AM,Unknown,Region 1 - North Coast,Karuk Tribe,Klamath River,Detail,-122.57085,41.85695
Last verified >90 days ago,11/10/22,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",1/7/2022 12:00:00 AM,3141,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Siskiyou,at Walker Bridge (RM 156.26),1/7/2022 12:00:00 AM,Unknown,Region 1 - North Coast,Karuk Tribe,Klamath River,Detail,-122.86481,41.83741
Last verified >90 days ago,10/20/22,Alert-high concentration toxins; Updates from routine monitoring program-organization,"Alert! High concentration of one or more cyanotoxins measured at this site indicating elevated health risk to humans and animals.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/7/2022 12:00:00 AM,3135,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Siskiyou,below Copco Dam,1/7/2022 12:00:00 AM,Unknown,Region 1 - North Coast,PacifiCorp,Klamath River,Detail,-122.36440,41.97290
Last verified >90 days ago,10/31/22,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",1/7/2022 12:00:00 AM,3144,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Siskiyou,below Happy Camp (RM 101.3; Baseline),1/7/2022 12:00:00 AM,Unknown,Region 1 - North Coast,Karuk Tribe,Klamath River,Detail,-123.39635,41.77402
Last verified >90 days ago,12/16/22,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",1/7/2022 12:00:00 AM,3139,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Siskiyou,below Iron Gate Reservoir.,1/7/2022 12:00:00 AM,Unknown,Region 1 - North Coast,Karuk Tribe,Klamath River,Detail,-122.44206,41.93099
Last verified >90 days ago,10/20/22,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",1/7/2022 12:00:00 AM,3129,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Siskiyou,below J.C. Boyle Dam (RM 224.60).,1/7/2022 12:00:00 AM,Unknown,Region 1 - North Coast,PacifiCorp,Klamath River,Detail,-122.04927,42.12122
Last verified >90 days ago,11/10/22,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",1/7/2022 12:00:00 AM,3143,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Siskiyou,below Seiad (RM 128.5; Baseline),1/7/2022 12:00:00 AM,Unknown,Region 1 - North Coast,Karuk Tribe,Klamath River,Detail,-123.22011,41.84233
Last verified >90 days ago,10/20/22,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",1/7/2022 12:00:00 AM,3130,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Siskiyou,below USGS Gage (RM 219.50).,1/7/2022 12:00:00 AM,Unknown,Region 1 - North Coast,PacifiCorp,Klamath River,Detail,-122.07500,42.08700
Last verified >90 days ago,4/25/22,visual monitoring based advisory,Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.,5/11/2022 4:15:51 PM,3276,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,North Coast Regional Water Board,Siskiyou,lake-wide,4/20/2022 12:00:00 AM,,Region 1 - North Coast,,Lake Shastina,Detail,-122.39486,41.51747
Last verified >90 days ago,9/8/22,No cyano bloom w/testing,Water testing of samples did not detect presence of harmful algal bloom produced by cyanobacteria.,9/8/2022 4:14:30 PM,3705,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Mt. Shasta Sisson Museum,Siskiyou,Boat Launch,8/25/2022 12:00:00 AM,,Region 5 - Central Valley,,Lake Siskiyou,Detail,-122.34532,41.28231
Last verified >90 days ago,9/8/22,No cyano bloom w/testing,Water testing of samples did not detect presence of harmful algal bloom produced by cyanobacteria.,9/8/2022 4:16:59 PM,3707,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Mt. Shasta Sisson Museum,Siskiyou,Cable Beach,8/25/2022 12:00:00 AM,,Region 5 - Central Valley,,Lake Siskiyou,Detail,-122.33477,41.27869
Last verified >90 days ago,9/8/22,No cyano bloom w/testing,Water testing of samples did not detect presence of harmful algal bloom produced by cyanobacteria.,9/8/2022 4:18:59 PM,3708,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Mt. Shasta Sisson Museum,Siskiyou,Dam North Side,8/25/2022 12:00:00 AM,,Region 5 - Central Valley,,Lake Siskiyou,Detail,-122.32983,41.27991
Last verified >90 days ago,9/8/22,No cyano bloom w/testing,Water testing of samples did not detect presence of harmful algal bloom produced by cyanobacteria.,9/8/2022 4:16:07 PM,3706,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Mt. Shasta Sisson Museum,Siskiyou,Meadows,8/25/2022 12:00:00 AM,,Region 5 - Central Valley,,Lake Siskiyou,Detail,-122.33900,41.28600
Last verified >90 days ago,12/30/22,Alert-high concentration toxins; Updates from routine monitoring program-organization,"Alert! High concentration of one or more cyanotoxins measured at this site indicating elevated health risk to humans and animals.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",2/1/2022 12:00:00 AM,3178,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,FHAB,Siskiyou,Stateline Boat Ramp,1/10/2022 12:00:00 AM,Unknown,Region 1 - North Coast,United States Fish and Wildlife,Lower Klamath National Wildlife Refuge,Detail,-121.82464,42.00201
